FID,Serial,Lat,Long,GWL18,Aspect,Curvature,Drainage_density,Elevation,GWL_m,GWL_f,GWL_m_SP1,GWL_f_SP1,Distance_from_stream,Lithology,Plan_curvature,Profile_curvature,Slope_degree,TWI1,TRI,Sy
121,122,24.3145,90.152,16.3,180,0.216315,0.091631,27,4.89,0.3272841,3.168455,1.886685,7848.6,20,0.216315,0,1.41294,6.38834,23.4947,0.040592
122,123,24.2996,89.8988,6.02,161.565,-0.108158,0.136124,15,1.806,0.270399066,3.278726,1.340822,6484.44,6,0,0.108158,0.744795,7.664203,11.6619,0.115962
123,124,24.2972,90.6103,10.54,188.13,0,0.108816,13,3.162,0.100368208,3.322658,2.305093,2406.93,20,0.081118,0.081118,1.66504,6.234221,12.9615,0.044417
124,125,24.2879,90.0252,5.25,18.4349,-0.216315,0.110641,11,1.575,0.004510529,5.009503,5.893822,108.167,5,0,0.216315,1.48934,8.130835,14.2478,0.083288
125,126,24.271,90.1715,16.3,336.801,-0.216315,0.091125,24,4.89,0.312900213,5.338721,8.115482,7503.66,20,0,0.216315,1.79322,8.110026,19.6214,0.03864
126,127,24.2722,90.0667,5.45,270,-0.216315,0.1157,10,1.635,0.032040991,5.840007,7.220406,768.375,5,0,0.216315,0.942067,9.805711,11.1803,0.062187
127,128,24.2744,90.0019,5.3,-1,0,0.105468,11,1.59,0.078204412,1.550196,0.106726,1875.42,16,0,0,0,10.203592,10.198,0.088735
128,129,24.2655,89.8773,7.418,203.199,0.108158,0.141745,18,2.2254,0.115070681,3.392811,2.524966,2759.51,6,0.021632,-0.086526,1.79322,6.164116,12.8452,0.121697
129,130,24.2706,89.9521,6.07,348.69,0.108158,0.103499,15,1.821,0.139976648,3.01735,1.550384,3356.78,16,0.064894,-0.043263,1.20084,6.539385,12.0416,0.099837
130,131,24.2707,89.9304,5.92,120.964,0.648945,0.118442,14,1.776,0.22433218,3.141791,1.82245,5379.71,6,0.351512,-0.297433,1.37315,6.414992,9,0.110839
131,132,24.2558,90.2003,16.3,320.711,0.216315,0.081827,27,4.89,0.182635837,3.991954,5.492998,4379.79,20,0.027039,-0.189276,3.34382,5.565813,18,0.029368
132,133,24.2581,89.8706,5.92,33.6901,-0.324473,0.142917,14,1.776,0.083816355,4.439778,4.564575,2010,6,-0.086526,0.237947,1.69799,7.314338,12.8452,0.126122
133,134,24.243,89.8588,6.62,-1,0.216315,0.146455,19,1.986,0.043945207,0.451584,0.055207,1053.85,6,0,0,0,9.10498,14.6969,0.123978
134,135,24.2371,89.9612,6.7,135,0.216315,0.127679,14,2.01,0.12119136,2.848875,1.245555,2906.29,6,0.135197,-0.081118,0.999202,6.70781,9,0.099779
135,136,24.234,90.0505,5.4,212.471,-0.108158,0.115849,13,1.62,0.101876903,3.90832,4.928873,2443.11,16,0.041599,0.149757,3.0681,5.649263,12.9615,0.072343
136,137,24.2297,90.1356,15.3,243.435,0.108158,0.112938,13,4.59,0.237322464,2.896878,1.325728,5691.23,20,0,-0.108158,1.05324,6.659819,18.4391,0.050172
137,138,24.238,89.8995,5.82,-1,0,0.122928,14,1.746,0.217186523,2.648808,0.20632,5208.35,6,0,0,0,11.302204,12.8452,0.114627
138,139,24.2112,90.1427,15.3,51.7098,-0.540788,0.109722,13,4.59,0.243792169,5.205652,16.31026,5846.38,20,-0.126461,0.414327,5.68306,5.740609,17.3205,0.048782
139,140,24.222,90.0331,5.4,-1,0,0.114785,10,1.62,0.164874692,1.550196,0.106726,3953.86,16,0,0,0,10.203592,8.30662,0.077354
140,141,24.2199,89.9072,6.37,225,0.108158,0.120382,15,1.911,0.215845878,3.642832,3.493118,5176.2,6,0.151421,0.043263,2.33042,5.914331,14.2829,0.117119
141,142,24.1981,90.0705,5.35,-1,0,0.109068,10,1.605,0.064786289,3.542626,0.352736,1553.64,16,0,0,0,12.196022,4.58258,0.068183
142,143,24.2104,89.8909,6.55,-1,0,0.12145,13,1.965,0.136122347,1.550196,0.106726,3264.35,6,0,0,0,10.203592,9.32738,0.11747
143,144,24.1989,89.9442,6.47,-1,0,0.109224,14,1.941,0.30512364,0.451584,0.055207,7317.17,16,0,0,0,9.10498,12.8452,0.102822
144,145,24.2006,89.9849,5.35,281.31,-0.216315,0.130674,10,1.605,0.251527042,6.755019,14.601213,6031.87,6,-0.189276,0.027039,1.20084,10.277054,11.1803,0.092372
145,146,24.1881,89.9792,6.4,251.565,-0.108158,0.12901,12,1.92,0.309247738,6.019566,6.943367,7416.07,16,0,0.108158,0.744795,10.405043,12.0416,0.093838
146,147,24.1848,90.0033,5.2,270,0.108158,0.125363,12,1.56,0.301620867,3.168455,1.886685,7233.17,16,0,-0.108158,1.41294,6.38834,8.66025,0.087677
147,148,24.1776,90.1119,5.4,36.8699,0,0.112362,11,1.62,0.073212126,3.652519,3.537306,1755.7,20,0.118973,0.118973,2.35405,5.904655,12.49,0.060204
148,149,24.1572,90.1222,14.4,59.0362,0.108158,0.107555,21,4.32,0.070556274,3.800455,4.285645,1692.01,20,-0.01664,-0.124797,2.74472,5.75693,23.0651,0.05655
